#timestamp(s) translation_x(m) translation_y(m) translation_z(m)
1640241965.700000048 748.52 -1852.74 3276.77 
1640241965.799999952 747.87 -1852.43 3275.73 
1640241965.900000095 747.22 -1852.12 3274.69 
1640241966.000000000 746.57 -1851.81 3273.65 
1640241966.099999905 745.92 -1851.51 3272.61 
1640241966.200000048 745.26 -1851.21 3271.58 
1640241966.299999952 744.61 -1850.90 3270.54 
1640241966.400000095 743.96 -1850.60 3269.49 
1640241966.500000000 743.31 -1850.29 3268.46 
1640241966.599999905 742.65 -1849.99 3267.42 
1640241966.700000048 741.99 -1849.69 3266.38 
1640241966.799999952 741.34 -1849.39 3265.34 
1640241966.900000095 740.68 -1849.09 3264.29 
1640241967.000000000 740.02 -1848.79 3263.25 
1640241967.099999905 739.35 -1848.48 3262.21 
1640241967.200000048 738.69 -1848.18 3261.17 
1640241967.299999952 738.02 -1847.88 3260.12 
1640241967.400000095 737.36 -1847.57 3259.08 
1640241967.500000000 736.70 -1847.26 3258.05 
1640241967.599999905 736.05 -1846.95 3257.02 
1640241967.700000048 735.39 -1846.65 3255.96 
1640241967.799999952 734.73 -1846.35 3254.90 
1640241967.900000095 734.08 -1846.04 3253.83 
1640241968.000000000 733.42 -1845.73 3252.78 
1640241968.099999905 732.75 -1845.42 3251.73 
1640241968.200000048 732.10 -1845.11 3250.67 
1640241968.299999952 731.43 -1844.80 3249.61 
1640241968.400000095 730.77 -1844.48 3248.55 
1640241968.500000000 730.10 -1844.16 3247.50 
1640241968.599999905 729.44 -1843.85 3246.44 
1640241968.700000048 728.76 -1843.54 3245.37 
1640241968.799999952 728.09 -1843.22 3244.31 
1640241968.900000095 727.41 -1842.90 3243.24 
1640241969.000000000 726.74 -1842.58 3242.18 
1640241969.099999905 726.06 -1842.27 3241.12 
1640241969.200000048 725.38 -1841.95 3240.06 
1640241969.299999952 724.70 -1841.63 3239.00 
1640241969.400000095 724.01 -1841.32 3237.93 
1640241969.500000000 723.33 -1841.00 3236.87 
1640241969.599999905 722.64 -1840.68 3235.81 
1640241969.700000048 721.94 -1840.38 3234.75 
1640241969.799999952 721.25 -1840.06 3233.69 
1640241969.900000095 720.55 -1839.75 3232.64 
1640241970.000000000 719.86 -1839.44 3231.58 
1640241970.099999905 719.17 -1839.13 3230.53 
1640241970.200000048 718.48 -1838.83 3229.46 
1640241970.299999952 717.78 -1838.53 3228.39 
1640241970.400000095 717.08 -1838.22 3227.33 
1640241970.500000000 716.38 -1837.91 3226.28 
1640241970.599999905 715.68 -1837.60 3225.23 
1640241970.700000048 714.98 -1837.30 3224.17 
1640241970.799999952 714.29 -1836.99 3223.11 
1640241970.900000095 713.59 -1836.68 3222.06 
1640241971.000000000 712.90 -1836.38 3221.00 
1640241971.099999905 712.21 -1836.07 3219.94 
1640241971.200000048 711.52 -1835.76 3218.90 
1640241971.299999952 710.83 -1835.44 3217.85 
1640241971.400000095 710.14 -1835.13 3216.80 
1640241971.500000000 709.45 -1834.82 3215.74 
1640241971.599999905 708.76 -1834.50 3214.69 
1640241971.700000048 708.07 -1834.18 3213.64 
1640241971.799999952 707.39 -1833.86 3212.59 
1640241971.900000095 706.71 -1833.54 3211.54 
1640241972.000000000 706.03 -1833.21 3210.49 
1640241972.099999905 705.35 -1832.89 3209.43 
1640241972.200000048 704.67 -1832.57 3208.38 
1640241972.299999952 704.00 -1832.24 3207.33 
1640241972.400000095 703.33 -1831.91 3206.30 
1640241972.500000000 702.67 -1831.58 3205.27 
1640241972.599999905 702.02 -1831.25 3204.22 
1640241972.700000048 701.36 -1830.93 3203.16 
1640241972.799999952 700.72 -1830.60 3202.11 
1640241972.900000095 700.06 -1830.27 3201.08 
1640241973.000000000 699.41 -1829.95 3200.04 
1640241973.099999905 698.75 -1829.62 3199.01 
1640241973.200000048 698.11 -1829.29 3197.97 
1640241973.299999952 697.45 -1828.97 3196.93 
1640241973.400000095 696.80 -1828.64 3195.89 
1640241973.500000000 696.15 -1828.31 3194.85 
1640241973.599999905 695.50 -1827.98 3193.81 
1640241973.700000048 694.85 -1827.64 3192.79 
1640241973.799999952 694.20 -1827.32 3191.75 
1640241973.900000095 693.55 -1826.99 3190.71 
1640241974.000000000 692.89 -1826.66 3189.68 
1640241974.099999905 692.25 -1826.33 3188.64 
1640241974.200000048 691.59 -1826.00 3187.61 
1640241974.299999952 690.94 -1825.67 3186.58 
1640241974.400000095 690.29 -1825.35 3185.55 
1640241974.500000000 689.63 -1825.03 3184.52 
1640241974.599999905 688.97 -1824.71 3183.49 
1640241974.700000048 688.31 -1824.38 3182.47 
1640241974.799999952 687.67 -1824.05 3181.46 
1640241974.900000095 687.03 -1823.72 3180.42 
